Code Insee,Code postal,latitude,longitude,nom commune,département,région,population 2015,population 2021
01192,01580,46.2179780137,5.56258251719,Izernore,Ain,Auvergne-Rhône-Alpes,2275.0,2267.0
01193,01300,45.6557496407,5.63909140794,Izieu,Ain,Auvergne-Rhône-Alpes,239.0,222.0
01194,01480,45.9777239103,4.75984637871,Jassans-Riottier,Ain,Auvergne-Rhône-Alpes,6190.0,6355.0
01195,01250,46.2150037064,5.31215372338,Jasseron,Ain,Auvergne-Rhône-Alpes,1735.0,1861.0
01196,01340,46.3660828991,5.11429701617,Jayat,Ain,Auvergne-Rhône-Alpes,1145.0,1259.0
01197,01250,46.1464982407,5.33452833151,Journans,Ain,Auvergne-Rhône-Alpes,355.0,380.0
01198,01800,45.9499899849,5.10261326872,Joyeux,Ain,Auvergne-Rhône-Alpes,278.0,262.0
01199,01640,46.0497041467,5.41094771899,Jujurieux,Ain,Auvergne-Rhône-Alpes,2191.0,2124.0
01200,01450,46.0932491295,5.49438685213,Labalme,Ain,Auvergne-Rhône-Alpes,214.0,210.0
01202,01150,45.8917015798,5.32917518895,Lagnieu,Ain,Auvergne-Rhône-Alpes,7022.0,7268.0
01203,01290,46.2469919709,4.89933490972,Laiz,Ain,Auvergne-Rhône-Alpes,1202.0,1299.0
01204,01130,46.1479592076,5.71829194244,Le Poizat-Lalleyriat,Ain,Auvergne-Rhône-Alpes,703.0,746.0
01204,01130,46.1479592076,5.71829194244,Le Poizat-Lalleyriat,Ain,Auvergne-Rhône-Alpes,703.0,746.0
01206,01430,46.0544405897,5.54127421165,Lantenay,Ain,Auvergne-Rhône-Alpes,267.0,270.0
01207,01330,45.9859131165,4.98196682865,Lapeyrouse,Ain,Auvergne-Rhône-Alpes,332.0,326.0
01208,01350,45.8108837933,5.77267317838,Lavours,Ain,Auvergne-Rhône-Alpes,129.0,136.0
01209,01200,46.1086518044,5.87649017888,Léaz,Ain,Auvergne-Rhône-Alpes,700.0,817.0
01210,01410,46.2855010936,5.92927713771,Lélex,Ain,Auvergne-Rhône-Alpes,227.0,230.0
01211,01240,46.1160216305,5.20200684747,Lent,Ain,Auvergne-Rhône-Alpes,1427.0,1408.0
01212,01560,46.4114892731,5.15107164478,Lescheroux,Ain,Auvergne-Rhône-Alpes,721.0,714.0
01213,01150,45.9269989549,5.2947657235,Leyment,Ain,Auvergne-Rhône-Alpes,1267.0,1392.0
01214,01450,46.1624187428,5.47633297491,Leyssard,Ain,Auvergne-Rhône-Alpes,154.0,163.0
01215,01420,46.0238143134,5.76236736492,Lhôpital,Ain,Auvergne-Rhône-Alpes,47.0,141.0
01216,01680,45.7444141403,5.53602066955,Lhuis,Ain,Auvergne-Rhône-Alpes,887.0,892.0
01219,01680,45.8105943351,5.52320457866,Lompnas,Ain,Auvergne-Rhône-Alpes,167.0,163.0
01224,01360,45.7921564114,5.21770971647,Loyettes,Ain,Auvergne-Rhône-Alpes,3145.0,3381.0
01225,01090,46.061730034,4.78075207026,Lurcy,Ain,Auvergne-Rhône-Alpes,387.0,393.0
01227,01300,45.7754050255,5.71540945601,Magnieu,Ain,Auvergne-Rhône-Alpes,473.0,655.0
01228,01430,46.1201642836,5.52854394238,Maillat,Ain,Auvergne-Rhône-Alpes,633.0,679.0
01229,01340,46.3295545661,5.14386299599,Malafretaz,Ain,Auvergne-Rhône-Alpes,1169.0,1214.0
01230,01560,46.4302754511,5.10675899732,Mantenay-Montlin,Ain,Auvergne-Rhône-Alpes,308.0,308.0
01231,01570,46.3643830585,4.90242777155,Manziat,Ain,Auvergne-Rhône-Alpes,1988.0,1955.0
01232,01851,46.3434312497,5.24374534963,Marboz,Ain,Auvergne-Rhône-Alpes,2215.0,2268.0
01233,01680,45.7738495266,5.54985181107,Marchamp,Ain,Auvergne-Rhône-Alpes,130.0,132.0
01234,01300,45.8010384947,5.71570352924,Marignieu,Ain,Auvergne-Rhône-Alpes,173.0,167.0
01235,01240,46.0549073186,5.0741150816,Marlieux,Ain,Auvergne-Rhône-Alpes,1070.0,1182.0
01236,01340,46.3409117711,5.06434294764,Marsonnas,Ain,Auvergne-Rhône-Alpes,989.0,1030.0
01237,01100,46.2030768095,5.61384033805,Martignat,Ain,Auvergne-Rhône-Alpes,1600.0,1671.0
01238,01600,45.9094016817,4.82779660051,Massieux,Ain,Auvergne-Rhône-Alpes,2516.0,2721.0
01239,01300,45.7571503942,5.7620535823,Massignieu-de-Rives,Ain,Auvergne-Rhône-Alpes,624.0,642.0
01240,01580,46.2565319445,5.53958933702,Matafelon-Granges,Ain,Auvergne-Rhône-Alpes,647.0,629.0
